PPG PulseOx1, RIPResp1, Heart Rate PulseOx1, Temperature Sensor 1, RIPResp2, SpO2 PulseOx1, Pulse d(Trace)/dt, Pulse d2(Trace)/dt2, Pulse Rate (BPM), d(Pulse Rate)/dt (BPMPM), Pulse Interval (ms), Pulse RMSSD (ms), Pulse SDNN (BPM), Pulse P50 (%), Smoothed RIP Resp1, Smoothed RIP Resp2, Breathing Rate (BPM), d(Breathing Rate)/dt (BPMPM), Interval (s), Inspiration (%), d(Inspiration)/dt (%PM), Breathing RMSSD (s), Breathing SDNN (BPM)
83.529106,-0.017286949,61,24.03445,-0.011208035,98,-0.4931717,-0.107421875,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016842162,-0.010644749,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
83.529106,-0.020073518,61,23.94427,-0.013875939,98,-0.4931717,-0.107421875,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016819708,-0.010630824,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
83.529106,-0.01838509,61,23.989363,-0.012100473,98,-0.4931717,-0.107421875,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016805524,-0.010625111,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
83.02861,-0.014212646,61,23.966816,-0.008025907,98,-0.5004959,-0.0073242188,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016790682,-0.010618736,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
83.02861,-0.013855375,61,23.94427,-0.0077878833,98,-0.5004959,-0.0073242188,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016762717,-0.010599648,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
83.02861,-0.01710505,61,24.03445,-0.011072874,98,-0.5004959,-0.0073242188,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016726336,-0.010572615,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
82.60868,-0.019943029,61,23.966816,-0.013791695,98,-0.4199295,0.080566406,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016700238,-0.0105557665,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
82.60868,-0.018304534,61,23.94427,-0.0120666325,98,-0.4199295,0.080566406,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016684128,-0.010548999,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
82.60868,-0.014135845,61,23.989363,-0.007994793,98,-0.4199295,0.080566406,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016668767,-0.0105427755,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
82.30595,-0.013720393,61,23.966816,-0.0076988563,98,-0.30273438,0.11720276,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016641771,-0.0105249705,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
